"employees","base_salaries","salary_adjustments","adjusted_salaries","raise"
"Employee 48",41226.0317150503,7264.49914509431,48490.5308601446,TRUE
"Employee 49",46862.0856129564,-50.6716826930642,46811.4139302634,FALSE
"Employee 50",42086.1211372539,-3089.3218354322,38996.7993018217,FALSE
"Employee 51",49516.524206847,-2134.00260428898,47382.521602558,FALSE
"Employee 52",42379.3951491825,6857.21131507307,49236.6064642556,TRUE
"Employee 53",47203.2257495448,-1902.22040284425,45301.0053467005,FALSE
"Employee 54",49226.9923398271,4841.12742473371,54068.1197645608,TRUE
"Employee 55",48957.9175319523,4588.56965997256,53546.4871919248,TRUE
"Employee 56",49783.244591672,1242.19124903902,51025.435840711,TRUE
"Employee 57",40225.1188550144,2861.62876407616,43086.7476190906,TRUE
"Employee 58",41825.8794513531,-1846.8029925134,39979.0764588397,FALSE
"Employee 59",41778.8425670005,3606.3797166571,45385.2222836576,TRUE
"Employee 60",44372.855364345,7143.88944325037,51516.7448075954,TRUE
"Employee 61",43369.9558395892,-3843.14037277363,39526.8154668156,FALSE
"Employee 62",49409.8925497383,6996.51373666711,56406.4062864054,TRUE
"Employee 63",40971.9502856024,-4622.71260446869,36349.2376811337,FALSE
"Employee 64",47038.3177441545,6886.90076698549,53925.21851114,TRUE
"Employee 65",44642.3906786367,7133.85154493153,51776.2422235683,TRUE
"Employee 66",49835.0246879272,9737.98426683061,59573.0089547578,TRUE
"Employee 67",47416.2195669487,-3383.34759231657,44032.8719746321,FALSE
"Employee 68",45267.5885055214,-4891.00107108243,40376.587434439,FALSE
"Employee 69",40061.1166842282,4425.30459957197,44486.4212838002,TRUE
"Employee 70",42011.6262347437,488.457683240995,42500.0839179847,TRUE
"Employee 71",42735.2127688937,3968.46288465895,46703.6756535526,TRUE
"Employee 72",49855.7624220848,-103.331212885678,49752.4312091991,FALSE
"Employee 73",41632.0888954215,-2614.98747277074,39017.1014226507,FALSE
"Employee 74",40999.8613176867,3922.03323543072,44921.8945531175,TRUE
"Employee 75",45765.1569345035,-406.631894875318,45358.5250396281,FALSE
"Employee 76",41038.8257587329,-2760.38167648949,38278.4440822434,FALSE
"Employee 77",42368.6115280725,4156.85277665034,46525.4643047228,TRUE
"Employee 78",46138.0822909996,1743.8272270374,47881.909518037,TRUE
"Employee 79",48425.7835848257,-115.420264191926,48310.3633206338,FALSE
"Employee 80",48822.6645812392,6205.94760868698,55028.6121899262,TRUE
"Employee 81",44528.9770374075,8258.42028483748,52787.3973222449,TRUE
"Employee 82",41965.5159465037,-3225.55136401206,38739.9645824917,FALSE
"Employee 83",49891.4177622646,4850.80434242263,54742.2221046872,TRUE
"Employee 84",44966.7011783458,-4592.01284684241,40374.6883315034,FALSE
"Employee 85",44406.1911012977,5780.80025850795,50186.9913598057,TRUE
"Employee 86",46938.8429494575,6921.12391698174,53859.9668664392,TRUE
"Employee 87",43752.8236536309,8186.58109172247,51939.4047453534,TRUE
"Employee 88",44839.4400277175,-263.823323184624,44575.6167045329,FALSE
"Employee 89",45116.3756474853,7406.52157808654,52522.8972255718,TRUE
"Employee 90",40734.5958612859,4676.68548226357,45411.2813435495,TRUE
"Employee 91",48668.5455427505,8078.97568214685,56747.5212248974,TRUE
"Employee 92",44837.0650084689,-3011.24968798831,41825.8153204806,FALSE
"Employee 93",47444.9412804097,887.541219126433,48332.4824995361,TRUE
"Employee 94",40944.3390229717,1623.95824445412,42568.2972674258,TRUE
"Employee 95",42924.8280846514,-3575.17135795206,39349.6567266993,FALSE
"Employee 96",43624.0899935365,2701.61094726063,46325.7009407971,TRUE
"Employee 97",40092.1796960756,6900.23173345253,46992.4114295281,TRUE
"Employee 98",45556.0887232423,7198.65332706831,52754.7420503106,TRUE
"Employee 99",40388.4211881086,-4466.78860345855,35921.6325846501,FALSE
"Employee 100",41638.2036288269,-3178.28716360964,38459.9164652172,FALSE
